PLAYER,TEAM,MIN,Cut Scoring Percentile,Off Screen Scoring Percentile
Klay Thompson,GSW,2652,0.84,0.996
Joe Harris,BKN,2294,0.435,1.0
Stephen Curry,GSW,2331,0.857,0.992
Doug McDermott,IND,1340,0.97,0.966
Shaun Livingston,GSW,967,1.0,0.021
Bojan Bogdanovic,IND,2573,0.759,0.97
Landry Shamet,LAC,1787,0.565,0.975
Pat Connaughton,MIL,1261,0.958,0.823
Terrence Ross,ORL,2098,0.207,0.987
Kyle Korver,UTA,1317,0.148,0.983
Allen Crabbe,BKN,1133,0.046,0.979
Ben Simmons,PHI,2664,0.996,0.19
Kyle Anderson,MEM,1282,0.992,0.312
E'Twaun Moore,NOP,1463,0.734,0.954
Derrick Jones Jr.,MIA,1154,0.987,0.224
Bradley Beal,WAS,2988,0.835,0.911
Dante Cunningham,SAS,928,0.983,0.236
Maurice Harkless,POR,1415,0.979,0.384
Justin Holiday,MEM,2568,0.641,0.937
Mike Conley,MEM,2342,0.722,0.92
Wesley Matthews,IND,2091,0.511,0.945
Alfonzo McKinnie,GSW,1003,0.975,0.232
Buddy Hield,SAC,2615,0.624,0.928
CJ McCollum,POR,2375,0.768,0.886
Kevin Durant,GSW,2702,0.814,0.869
Kyrie Irving,BOS,2214,0.709,0.907
Jamal Murray,DEN,2447,0.89,0.793
Andre Iguodala,GSW,1578,0.966,0.228
Jimmy Butler,PHI,2147,0.937,0.624
Sam Dekker,WAS,769,0.962,0.295
JJ Redick,PHI,2346,0.312,0.958
Rodions Kurucs,BKN,1294,0.924,0.641
Devin Booker,PHX,2242,0.747,0.857
Reggie Bullock,LAL,1879,0.354,0.932
Kyle Kuzma,LAL,2314,0.878,0.747
Glenn Robinson III,DET,610,0.954,0.097
Darius Miller,NOP,1757,0.156,0.962
Troy Daniels,PHX,760,0.236,0.949
Kentavious Caldwell-Pope,LAL,2035,0.249,0.941
Paul George,OKC,2801,0.549,0.882
Michael Kidd-Gilchrist,CHA,1179,0.949,0.093
Tobias Harris,PHI,2848,0.823,0.776
Terry Rozier,BOS,1791,0.502,0.899
Jrue Holiday,NOP,2402,0.869,0.696
Evan Fournier,ORL,2490,0.371,0.916
Marco Belinelli,SAS,1815,0.717,0.81
Quinn Cook,GSW,1059,0.494,0.878
Tim Hardaway Jr.,DAL,2032,0.574,0.852
Danilo Gallinari,LAC,2059,0.679,0.835
Chandler Hutchison,CHI,895,0.945,0.068
Nik Stauskas,CLE,1015,0.414,0.895
Gordon Hayward,BOS,1863,0.646,0.844
Solomon Hill,NOP,879,0.941,0.101
Otto Porter Jr.,CHI,1649,0.764,0.751
Brandon Ingram,LAL,1760,0.873,0.608
Monte Morris,DEN,1970,0.899,0.532
Dennis Smith Jr.,NYK,1508,0.751,0.734
George Hill,MIL,1302,0.895,0.536
Rondae Hollis-Jefferson,BKN,1234,0.932,0.051
Bogdan Bogdanovic,SAC,1947,0.62,0.806
CJ Miles,MEM,857,0.072,0.924
Harrison Barnes,SAC,2533,0.392,0.873
Josh Richardson,MIA,2539,0.776,0.7
Jerami Grant,OKC,2578,0.928,0.038
Kyle Lowry,TOR,2213,0.667,0.772
Tyler Johnson,PHX,1529,0.7,0.759
Tim Frazier,MIL,1120,0.92,0.194
Tomas Satoransky,WAS,2133,0.903,0.439
Garrett Temple,LAC,2041,0.726,0.709
T.J. McConnell,PHI,1451,0.916,0.186
Malcolm Brogdon,MIL,1832,0.743,0.688
DeMar DeRozan,SAS,2688,0.662,0.755
Frank Jackson,NOP,1169,0.684,0.738
Tyrone Wallace,LAC,628,0.911,0.173
Dorian Finney-Smith,DAL,1985,0.848,0.565
Damian Lillard,POR,2838,0.688,0.717
Jeremy Lamb,CHA,2250,0.409,0.84
Shelvin Mack,CHA,1247,0.886,0.409
Damyean Dotson,NYK,1978,0.203,0.903
Sterling Brown,MIL,1034,0.582,0.764
Torrey Craig,DEN,1503,0.907,0.169
Khris Middleton,MIL,2393,0.363,0.831
Mikal Bridges,PHX,2417,0.793,0.599
Josh Hart,LAL,1715,0.418,0.802
Joe Ingles,UTA,2534,0.152,0.89
Zach LaVine,CHI,2130,0.802,0.553
Avery Bradley,MEM,1905,0.557,0.73
Jordan Clarkson,CLE,2215,0.553,0.713
Fred VanVleet,TOR,1760,0.523,0.743
Justin Jackson,DAL,1613,0.629,0.675
Devin Harris,DAL,1071,0.367,0.785
Ian Clark,NOP,973,0.346,0.797
Jayson Tatum,BOS,2455,0.586,0.684
Dwyane Wade,MIA,1885,0.755,0.523
Eric Bledsoe,MIL,2272,0.73,0.557
T.J. Warren,PHX,1360,0.637,0.658
Goran Dragic,MIA,991,0.633,0.65
LeBron James,LAL,1937,0.797,0.468
Luka Doncic,DAL,2318,0.591,0.671
Derrick White,SAS,1728,0.806,0.435
Kemba Walker,CHA,2863,0.253,0.819
Jonathan Isaac,ORL,1936,0.882,0.004
Miles Bridges,CHA,1696,0.865,0.118
Chasson Randle,WAS,720,0.781,0.447
Kenrich Williams,NOP,1079,0.612,0.646
Kawhi Leonard,TOR,2040,0.57,0.667
Bruce Brown,DET,1449,0.861,0.211
Wayne Ellington,DET,1297,0.19,0.848
Mario Hezonja,NYK,1187,0.844,0.333
Danny Green,TOR,2215,0.013,0.865
Kelly Oubre Jr.,PHX,1935,0.46,0.692
Lonzo Ball,LAL,1423,0.789,0.388
Evan Turner,POR,1606,0.852,0.03
Al-Farouq Aminu,POR,2292,0.831,0.346
Davis Bertans,SAS,1632,0.266,0.781
Elfrid Payton,NOP,1250,0.827,0.122
Alec Burks,SAC,1375,0.599,0.582
Gerald Green,HOU,1473,0.004,0.861
DeAndre' Bembry,ATL,1931,0.819,0.329
Derrick Rose,MIN,1392,0.705,0.443
Tyler Dorsey,MEM,698,0.084,0.827
Tony Snell,MIL,1304,0.506,0.616
Troy Brown Jr.,WAS,720,0.81,0.127
Norman Powell,TOR,1126,0.241,0.768
Donovan Mitchell,UTA,2564,0.536,0.574
Seth Curry,POR,1399,0.114,0.814
Jalen Brunson,DAL,1591,0.422,0.662
Caris LeVert,BKN,1063,0.65,0.46
David Nwaba,CLE,984,0.785,0.131
Andrew Wiggins,MIN,2543,0.671,0.43
D'Angelo Russell,BKN,2448,0.519,0.57
De'Aaron Fox,SAC,2546,0.464,0.595
Delon Wright,MEM,1698,0.772,0.135
Victor Oladipo,IND,1147,0.194,0.789
Jae Crowder,UTA,2140,0.498,0.54
Darren Collison,IND,2143,0.616,0.426
Jeff Green,WAS,2076,0.738,0.017
Rodney McGruder,LAC,1550,0.359,0.633
Cory Joseph,IND,2063,0.696,0.359
Emmanuel Mudiay,NYK,1576,0.532,0.477
Robert Covington,MIN,1203,0.713,0.139
Collin Sexton,CLE,2605,0.527,0.456
Justise Winslow,MIA,1960,0.658,0.338
Russell Westbrook,OKC,2593,0.477,0.489
Elie Okobo,PHX,958,0.692,0.143
Taurean Prince,ATL,1552,0.283,0.62
Trevor Ariza,WAS,2310,0.481,0.464
Tyus Jones,MIN,1560,0.675,0.148
Eric Gordon,HOU,2158,0.274,0.612
Shai Gilgeous-Alexander,LAC,2174,0.654,0.152
Marcus Smart,BOS,2200,0.489,0.418
Timothe Luwawu-Cabarrot,CHI,669,0.456,0.451
Trae Young,ATL,2503,0.342,0.549
Nicolas Batum,CHA,2354,0.561,0.363
Reggie Jackson,DET,2289,0.316,0.578
Yogi Ferrell,SAC,1067,0.304,0.591
Patty Mills,SAS,1908,0.401,0.498
Lou Williams,LAC,1993,0.376,0.506
Bryn Forbes,SAS,2293,0.051,0.705
Malik Beasley,DEN,1879,0.245,0.637
Malik Monk,CHA,1258,0.017,0.726
Marcus Morris Sr.,BOS,2091,0.388,0.494
Josh Jackson,PHX,1988,0.439,0.422
Rodney Hood,POR,1893,0.211,0.654
De'Anthony Melton,PHX,984,0.603,0.203
Ryan Arcidiacono,CHI,1939,0.608,0.16
Rudy Gay,SAS,1842,0.54,0.35
OG Anunoby,TOR,1352,0.595,0.165
DeMarre Carroll,BKN,1703,0.338,0.502
Dion Waiters,MIA,1138,0.042,0.679
Iman Shumpert,HOU,1481,0.291,0.515
Langston Galloway,DET,1745,0.008,0.722
Josh Okogie,MIN,1757,0.578,0.013
Wayne Selden,CHI,1439,0.329,0.485
Markieff Morris,OKC,1271,0.544,0.177
Luke Kennard,DET,1437,0.43,0.371
Dennis Schroder,OKC,2288,0.35,0.414
D.J. Augustin,ORL,2202,0.515,0.181
Kevin Huerter,ATL,2049,0.321,0.405
Austin Rivers,HOU,2028,0.03,0.629
Royce O'Neale,UTA,1660,0.485,0.198
James Ennis III,PHI,1230,0.473,0.11
Jonathon Simmons,PHI,1022,0.468,0.156
Lance Thomas,NYK,783,0.447,0.063
Wes Iwundu,ORL,1233,0.451,0.105
Patrick Patterson,OKC,847,0.443,0.025
Devonte' Graham,CHA,676,0.093,0.603
Gary Harris,DEN,1639,0.257,0.473
Jaylen Brown,BOS,1913,0.38,0.354
James Harden,HOU,2867,0.215,0.519
Terrance Ferguson,OKC,1902,0.426,0.034
Kent Bazemore,ATL,1643,0.3,0.376
Ricky Rubio,UTA,1867,0.405,0.042
Furkan Korkmaz,PHI,679,0.228,0.481
Spencer Dinwiddie,BKN,1914,0.063,0.586
Jared Dudley,BKN,1220,0.397,0.046
Will Barton,DEN,1189,0.384,0.055
Kevin Knox II,NYK,2127,0.198,0.527
Trey Burke,DAL,1125,0.169,0.561
Lance Stephenson,LAL,1123,0.278,0.367
Tyreke Evans,IND,1402,0.333,0.342
Dwayne Bacon,CHA,759,0.089,0.544
Allonzo Trier,NYK,1435,0.219,0.401
Rajon Rondo,LAL,1369,0.325,0.059
Shabazz Napier,BKN,983,0.11,0.511
Wilson Chandler,LAC,1142,0.308,0.072
Bruno Caboclo,MEM,800,0.295,0.076
Shaquille Harrison,CHI,1417,0.287,0.08
Vince Carter,ATL,1330,0.27,0.084
Patrick Beverley,LAC,2137,0.262,0.089
J.J. Barea,DAL,752,0.118,0.397
Treveon Graham,BKN,715,0.232,0.114
