PLAYER,TEAM,MIN,AST per game,AST per 75 poss,Wght AST per game,Wght AST per 75 poss,Wght AST per touch,Wght AST per 75 touches,AST Value
Aaron Gordon,ORL,2567.0,3.67,4.07,3.99,4.42,0.07,5.49,1.09
Aaron Holiday,IND,646.0,1.74,4.82,1.88,5.2,0.08,6.14,1.08
Abdel Nader,OKC,686.0,0.33,1.02,0.34,1.04,0.03,2.48,1.02
Al Horford,BOS,1973.0,4.16,5.24,4.61,5.79,0.08,6.06,1.11
Al-Farouq Aminu,POR,2292.0,1.28,1.64,1.44,1.85,0.04,3.01,1.13
Alec Burks,SAC,1375.0,2.0,3.45,2.21,3.82,0.06,4.65,1.11
Alex Len,ATL,1544.0,1.12,1.92,1.23,2.12,0.03,2.5,1.1
Alfonzo McKinnie,GSW,1003.0,0.43,1.1,0.42,1.09,0.02,1.78,0.99
Allen Crabbe,BKN,1133.0,1.07,1.45,1.16,1.58,0.04,2.74,1.09
Allonzo Trier,NYK,1435.0,1.84,2.97,2.1,3.38,0.06,4.56,1.14
Andre Drummond,DET,2647.0,1.42,1.57,1.55,1.72,0.03,2.16,1.09
Andre Iguodala,GSW,1578.0,3.18,4.9,3.5,5.39,0.09,6.84,1.1
Andrew Wiggins,MIN,2543.0,2.52,2.62,2.63,2.72,0.05,4.11,1.04
Ante Zizic,CLE,1082.0,0.9,1.82,1.02,2.07,0.04,3.35,1.13
Anthony Davis,NOP,1850.0,3.89,4.15,4.24,4.52,0.06,4.31,1.09
Anthony Tolliver,MIN,1079.0,0.71,1.54,0.73,1.58,0.03,2.47,1.03
Antonio Blakeney,CHI,829.0,0.74,1.85,0.78,1.95,0.05,3.62,1.05
Aron Baynes,BOS,821.0,1.12,2.51,1.14,2.57,0.05,3.6,1.02
Austin Rivers,HOU,2028.0,2.2,3.0,2.34,3.19,0.07,5.12,1.06
Avery Bradley,MEM,1905.0,2.41,2.9,2.81,3.37,0.08,6.01,1.17
Bam Adebayo,MIA,1913.0,2.24,3.58,2.42,3.85,0.07,5.26,1.08
Ben Simmons,PHI,2664.0,7.71,7.97,8.87,9.17,0.1,7.64,1.15
Bismack Biyombo,CHA,782.0,0.61,1.6,0.71,1.86,0.03,2.14,1.16
Blake Griffin,DET,2622.0,5.36,5.67,5.63,5.95,0.06,4.77,1.05
Boban Marjanovic,PHI,681.0,0.93,2.83,1.04,3.15,0.05,3.57,1.11
Bobby Portis,WAS,1276.0,1.45,2.0,1.63,2.25,0.03,2.41,1.12
Bogdan Bogdanovic,SAC,1947.0,3.81,4.89,4.11,5.27,0.08,5.65,1.08
Bojan Bogdanovic,IND,2573.0,1.99,2.31,2.22,2.58,0.05,3.88,1.12
Bradley Beal,WAS,2988.0,5.48,5.25,6.27,6.0,0.08,6.32,1.14
Brandon Ingram,LAL,1761.0,2.96,3.07,3.52,3.65,0.06,4.4,1.19
Brandon Knight,CLE,737.0,1.82,3.6,2.03,4.02,0.06,4.75,1.12
Brook Lopez,MIL,2322.0,1.21,1.48,1.33,1.62,0.04,2.72,1.1
Bruce Brown,DET,1449.0,1.23,2.36,1.28,2.46,0.05,4.1,1.04
Bruno Caboclo,MEM,800.0,1.47,2.32,1.54,2.43,0.05,3.54,1.05
Bryn Forbes,SAS,2293.0,2.13,2.85,2.13,2.84,0.06,4.25,1.0
Buddy Hield,SAC,2615.0,2.5,2.73,2.77,3.03,0.05,3.72,1.11
CJ McCollum,POR,2375.0,2.96,3.15,3.53,3.75,0.07,4.96,1.19
CJ Miles,MEM,857.0,0.68,1.49,0.8,1.75,0.04,3.09,1.18
Cameron Payne,CLE,712.0,2.65,5.39,2.88,5.86,0.08,5.95,1.09
Caris LeVert,BKN,1063.0,3.9,5.29,4.27,5.79,0.09,6.74,1.09
Cedi Osman,CLE,2444.0,2.57,2.99,2.76,3.21,0.05,4.02,1.08
Chandler Hutchison,CHI,895.0,0.77,1.39,0.88,1.58,0.03,2.5,1.13
Chasson Randle,WAS,720.0,1.98,4.7,2.09,4.95,0.07,5.41,1.05
Cheick Diallo,NOP,896.0,0.52,1.28,0.57,1.4,0.02,1.76,1.1
Chris Paul,HOU,1857.0,8.16,9.37,9.37,10.76,0.13,10.0,1.15
Clint Capela,HOU,2249.0,1.43,1.6,1.54,1.71,0.03,1.93,1.07
Cody Zeller,CHA,1243.0,2.08,2.98,2.11,3.03,0.04,3.18,1.02
Collin Sexton,CLE,2605.0,2.96,3.47,3.24,3.8,0.05,3.66,1.09
Cory Joseph,IND,2063.0,3.91,5.78,4.27,6.31,0.08,6.23,1.09
Cristiano Felicio,CHI,746.0,0.62,1.81,0.62,1.81,0.03,2.21,1.0
D'Angelo Russell,BKN,2448.0,6.95,8.25,8.38,9.95,0.11,8.03,1.21
D.J. Augustin,ORL,2202.0,5.3,6.93,5.72,7.48,0.1,7.16,1.08
D.J. Wilson,MIL,882.0,1.08,2.08,1.08,2.07,0.04,2.86,1.0
Damian Lillard,POR,2838.0,6.89,7.0,8.19,8.32,0.1,7.56,1.19
