PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile,Positional P.P.R. Percentile
Draymond Green,GSW,1222,6.19,8.23,7.75,10.32,0.978,1.0
Nikola Jokic,DEN,2335,7.01,8.73,8.25,10.26,0.975,0.991
Giannis Antetokounmpo,MIL,1885,5.61,7.61,6.32,8.55,0.884,0.981
Bam Adebayo,MIA,2382,5.08,6.68,5.68,7.43,0.859,0.972
Mason Plumlee,DEN,1057,2.52,3.16,5.38,6.75,0.844,0.963
Domantas Sabonis,IND,2159,5.0,6.24,5.32,6.64,0.812,0.954
Al Horford,PHI,2026,4.03,5.04,4.86,6.08,0.778,0.944
Marc Gasol,TOR,1145,3.37,4.31,4.56,5.87,0.762,0.935
Karl-Anthony Towns,MIN,1187,4.37,5.76,4.5,5.93,0.753,0.926
Nikola Vucevic,ORL,1998,3.58,4.93,4.06,5.59,0.722,0.917
Aaron Gordon,ORL,2017,3.68,4.73,4.18,5.38,0.7,0.907
Pascal Siakam,TOR,2072,3.42,5.01,3.5,5.09,0.675,0.898
Nemanja Bjelica,SAC,1981,2.83,3.67,3.72,4.85,0.669,0.889
Julius Randle,NYK,2080,3.09,4.36,3.5,4.94,0.662,0.88
Marquese Chriss,GSW,1196,1.93,2.57,3.44,4.57,0.65,0.87
Joel Embiid,PHI,1506,2.98,3.79,3.69,4.69,0.644,0.861
Kevin Love,CLE,1780,3.18,3.95,3.65,4.54,0.641,0.852
Frank Kaminsky,PHX,745,1.87,2.52,3.4,4.45,0.638,0.843
John Henson,DET,600,1.35,1.78,3.33,4.4,0.628,0.833
Anthony Davis,LAL,2131,3.23,4.32,3.34,4.47,0.619,0.824
Jakob Poeltl,SAS,1155,1.75,2.14,3.53,4.31,0.606,0.815
Larry Nance Jr.,CLE,1472,2.2,3.05,3.09,4.3,0.594,0.806
Kelly Olynyk,MIA,1287,1.73,2.29,3.22,4.26,0.591,0.796
DeAndre Jordan,BKN,1234,1.88,2.46,3.05,4.0,0.562,0.787
Harry Giles III,SAC,653,1.29,1.57,3.27,3.94,0.55,0.778
Steven Adams,OKC,1681,2.32,2.86,3.21,3.96,0.544,0.769
Rodions Kurucs,BKN,684,1.09,1.59,2.6,3.8,0.531,0.759
Nicolo Melli,NOP,1016,1.34,1.89,2.78,3.84,0.528,0.75
Andre Drummond,CLE,1844,2.7,3.51,2.99,3.94,0.525,0.741
Eric Paschall,GSW,1654,2.12,2.94,2.78,3.85,0.522,0.731
P.J. Washington,CHA,1739,2.11,3.0,2.63,3.73,0.516,0.722
Thaddeus Young,CHI,1591,1.83,2.51,2.65,3.63,0.494,0.713
Daniel Theis,BOS,1566,1.71,2.31,2.62,3.55,0.488,0.704
Bobby Portis,NYK,1394,1.48,2.02,2.57,3.49,0.475,0.694
Tristan Thompson,CLE,1722,2.11,2.85,2.58,3.5,0.472,0.685
Dario Saric,PHX,1594,1.83,2.36,2.7,3.43,0.469,0.676
Derrick Favors,NOP,1211,1.58,2.32,2.29,3.35,0.459,0.667
Aron Baynes,PHX,914,1.63,2.06,2.58,3.32,0.456,0.657
Cody Zeller,CHA,1320,1.54,2.08,2.47,3.38,0.45,0.648
Bruno Fernando,ATL,713,0.88,1.18,2.46,3.32,0.447,0.639
Jabari Parker,SAC,918,1.79,2.33,2.6,3.37,0.441,0.63
Jonas Valanciunas,MEM,1845,1.87,2.47,2.53,3.34,0.438,0.62
Zion Williamson,NOP,633,2.04,2.64,2.59,3.28,0.434,0.611
Gorgui Dieng,MEM,1097,1.16,1.59,2.4,3.29,0.422,0.602
LaMarcus Aldridge,SAS,1717,2.46,2.96,2.69,3.27,0.419,0.593
Markieff Morris,LAL,1171,1.33,1.79,2.37,3.2,0.416,0.583
Thomas Bryant,WAS,1147,1.8,2.25,2.54,3.17,0.403,0.574
Paul Millsap,DEN,1240,1.63,2.03,2.52,3.14,0.388,0.565
Jarrett Allen,BKN,1852,1.57,2.2,2.14,2.99,0.366,0.556
Grant Williams,BOS,1043,0.99,1.26,2.35,3.0,0.359,0.546
Moritz Wagner,WAS,835,1.24,1.64,2.31,3.03,0.35,0.537
Willie Cauley-Stein,DAL,1082,1.32,1.65,2.34,2.99,0.347,0.528
