PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile,Positional P.P.R. Percentile
LeBron James,LAL,2316,10.21,12.96,10.71,13.6,1.0,1.0
T.J. McConnell,IND,1326,5.0,6.63,9.66,12.82,0.997,0.994
Ricky Rubio,PHX,1979,8.7,10.98,10.04,12.58,0.994,0.988
Luka Doncic,DAL,1973,8.76,11.52,9.48,12.39,0.991,0.981
Elfrid Payton,NYK,1246,7.18,9.37,9.45,12.34,0.988,0.975
Trae Young,ATL,2120,9.33,12.44,9.17,12.23,0.984,0.969
Rajon Rondo,LAL,984,5.0,6.64,8.85,11.75,0.981,0.962
Ben Simmons,PHI,2017,7.98,10.61,8.15,10.84,0.972,0.956
Tyus Jones,MEM,1232,4.38,5.71,8.04,10.47,0.969,0.95
James Harden,HOU,2483,7.53,10.42,7.29,10.09,0.966,0.944
Ja Morant,MEM,2074,7.28,9.47,8.33,10.83,0.962,0.938
Jeff Teague,ATL,1464,5.22,7.3,7.4,10.34,0.959,0.931
Devonte' Graham,CHA,2179,7.53,10.19,8.04,10.96,0.956,0.925
Chris Paul,OKC,2208,6.74,8.94,7.83,10.39,0.953,0.919
Lonzo Ball,NOP,1985,6.97,9.18,7.54,9.96,0.95,0.912
Malcolm Brogdon,IND,1666,7.06,8.83,8.45,10.58,0.947,0.906
Derrick Rose,DET,1272,5.59,7.64,7.75,10.64,0.944,0.9
De'Aaron Fox,SAC,1604,6.88,9.23,7.61,10.29,0.941,0.894
Spencer Dinwiddie,BKN,1994,6.75,8.85,7.79,10.22,0.938,0.888
Matthew Dellavedova,CLE,821,3.16,3.87,8.05,9.86,0.934,0.881
Kyrie Irving,BKN,658,6.4,9.26,6.83,9.89,0.931,0.875
Kyle Lowry,TOR,2063,7.46,9.79,7.38,9.69,0.928,0.869
Russell Westbrook,HOU,2049,7.04,9.84,6.7,9.37,0.925,0.862
Damian Lillard,POR,2436,8.03,10.43,7.64,9.92,0.922,0.856
D'Angelo Russell,MIN,1452,6.33,8.82,6.87,9.57,0.919,0.85
Tomas Satoransky,CHI,1878,5.45,7.48,6.84,9.4,0.916,0.844
Devin Booker,PHX,2512,6.51,8.85,6.47,8.79,0.912,0.838
Jrue Holiday,NOP,2080,6.7,8.85,6.75,8.93,0.909,0.831
Jalen Brunson,DAL,1007,3.29,4.47,6.76,9.16,0.906,0.825
Markelle Fultz,ORL,1996,5.12,7.24,6.75,9.55,0.903,0.819
Eric Bledsoe,MIL,1615,5.38,7.09,6.77,8.92,0.9,0.812
Fred VanVleet,TOR,1928,6.61,8.85,6.71,8.98,0.897,0.806
Shabazz Napier,WAS,1345,4.68,6.15,6.89,9.06,0.891,0.8
D.J. Augustin,ORL,1420,4.6,6.46,6.79,9.54,0.888,0.794
Ish Smith,WAS,1787,4.91,6.63,6.57,8.87,0.881,0.788
Goran Dragic,MIA,1632,5.07,6.89,6.6,8.91,0.878,0.781
Lou Williams,LAC,1864,5.62,7.12,6.82,8.65,0.872,0.775
Bradley Beal,WAS,2053,6.09,8.03,5.95,7.85,0.869,0.769
Delon Wright,DAL,1545,3.32,4.63,5.67,7.85,0.862,0.762
Reggie Jackson,LAC,743,4.06,5.27,6.28,8.14,0.856,0.756
Caris LeVert,BKN,1330,4.42,6.06,5.37,7.36,0.85,0.75
Frank Ntilikina,NYK,1187,3.02,4.24,5.41,7.6,0.847,0.744
Elie Okobo,PHX,703,2.11,2.68,5.87,7.53,0.841,0.738
Monte Morris,DEN,1637,3.49,4.49,5.73,7.37,0.838,0.731
Dejounte Murray,SAS,1656,4.09,5.1,5.84,7.25,0.834,0.725
Mike Conley,UTA,1363,4.43,5.83,5.58,7.35,0.831,0.719
Jamal Murray,DEN,1904,4.81,6.38,5.6,7.42,0.828,0.712
Kris Dunn,CHI,1269,3.39,4.7,4.96,6.87,0.825,0.706
Marcus Smart,BOS,1919,4.85,6.07,5.49,6.88,0.822,0.7
Isaiah Thomas,WAS,925,3.65,4.78,5.51,7.21,0.819,0.694
Kemba Walker,BOS,1742,4.79,6.3,5.61,7.38,0.816,0.688
Bruce Brown,DET,1612,3.96,5.31,5.33,7.13,0.809,0.681
Cory Joseph,SAC,1742,3.45,4.61,5.29,7.01,0.806,0.675
De'Anthony Melton,MEM,1167,2.92,3.69,5.25,6.63,0.803,0.669
Aaron Holiday,IND,1617,3.41,4.51,5.09,6.73,0.8,0.662
Terry Rozier,CHA,2127,4.1,6.21,4.52,6.83,0.797,0.656
Emmanuel Mudiay,UTA,850,2.15,3.04,4.92,6.96,0.794,0.65
Patrick Beverley,LAC,1342,3.59,4.83,4.94,6.64,0.788,0.644
Michael Carter-Williams,ORL,833,2.42,3.26,4.87,6.54,0.784,0.638
Raul Neto,PHI,668,1.76,2.34,5.22,6.94,0.772,0.631
Zach LaVine,CHI,2085,4.23,6.17,4.4,6.42,0.769,0.625
George Hill,MIL,1247,3.07,4.0,4.99,6.54,0.766,0.619
Ky Bowman,GSW,1015,2.91,4.11,4.68,6.61,0.759,0.612
Shake Milton,PHI,805,2.6,3.52,4.77,6.46,0.756,0.606
Derrick White,SAS,1655,3.55,4.4,5.12,6.35,0.747,0.6
Dennis Schroder,OKC,1999,4.03,5.39,4.75,6.36,0.744,0.594
Luke Kennard,DET,888,4.11,5.24,4.63,5.9,0.741,0.588
Darius Garland,CLE,1824,3.88,5.31,4.6,6.29,0.731,0.581
Kevin Huerter,ATL,1760,3.8,5.08,4.27,5.7,0.728,0.575
Donovan Mitchell,UTA,2364,4.26,5.8,4.56,6.21,0.725,0.569
Brad Wanamaker,BOS,1369,2.52,3.22,4.76,6.08,0.719,0.562
Tyler Johnson,BKN,694,1.92,2.91,3.69,5.65,0.716,0.556
Bogdan Bogdanovic,SAC,1736,3.42,4.32,4.33,5.52,0.712,0.55
Kyle Anderson,MEM,1330,2.42,3.01,4.3,5.36,0.709,0.544
Jordan McRae,DET,785,2.51,3.31,4.16,5.48,0.706,0.538
CJ McCollum,POR,2518,4.45,5.73,4.38,5.66,0.703,0.531
Ryan Arcidiacono,CHI,930,1.66,2.27,3.73,5.12,0.694,0.525
