PLAYER,TEAM,MIN,Cut Scoring Percentile,Off Screen Scoring Percentile
Doug McDermott,IND,1372.0,0.858,0.996
Joe Harris,BKN,2123.0,0.602,0.982
Matt Thomas,TOR,436.0,0.102,1.0
Landry Shamet,LAC,1452.0,0.128,0.978
JJ Redick,NOP,1581.0,0.252,0.991
Damion Lee,GSW,1423.0,0.562,0.969
Terrence Ross,ORL,1889.0,0.248,0.987
Davis Bertans,WAS,1583.0,0.558,0.956
Duncan Robinson,MIA,2128.0,0.58,0.96
Mikal Bridges,PHX,2010.0,0.996,0.336
Glenn Robinson III,PHI,1786.0,0.903,0.916
Buddy Hield,SAC,2192.0,0.358,0.965
Justin Holiday,IND,1826.0,0.535,0.938
Devin Booker,PHX,2512.0,0.898,0.894
Rondae Hollis-Jefferson,TOR,1116.0,1.0,0.084
Pat Connaughton,MIL,1234.0,0.969,0.518
Jamal Murray,DEN,1903.0,0.925,0.796
Bradley Beal,WAS,2053.0,0.774,0.907
D'Angelo Russell,MIN,1452.0,0.487,0.942
Gordon Hayward,BOS,1740.0,0.836,0.827
Michael Porter Jr.,DEN,903.0,0.978,0.562
Evan Fournier,ORL,2076.0,0.553,0.929
Ben Simmons,PHI,2017.0,0.987,0.177
Rui Hachimura,WAS,1444.0,0.982,0.19
Derrick Jones Jr.,MIA,1350.0,0.991,0.164
Kyle Korver,MIL,942.0,0.04,0.973
Bogdan Bogdanovic,SAC,1736.0,0.549,0.881
Brandon Ingram,NOP,2062.0,0.726,0.752
Giannis Antetokounmpo,MIL,1885.0,0.929,0.628
CJ McCollum,POR,2518.0,0.456,0.872
E'Twaun Moore,NOP,1004.0,0.204,0.92
Andrew Wiggins,GSW,1859.0,0.894,0.712
T.J. Warren,IND,2202.0,0.889,0.805
Jimmy Butler,MIA,1959.0,0.96,0.473
Bojan Bogdanovic,UTA,2083.0,0.261,0.934
Tyler Herro,MIA,1508.0,0.345,0.898
Svi Mykhailiuk,DET,1253.0,0.221,0.912
Fred VanVleet,TOR,1928.0,0.527,0.85
Justin Jackson,DAL,1024.0,0.748,0.841
Khris Middleton,MIL,1818.0,0.668,0.788
Zach LaVine,CHI,2085.0,0.801,0.77
Jordan Poole,GSW,1274.0,0.265,0.951
Cameron Johnson,PHX,1223.0,0.518,0.721
Maurice Harkless,NYK,1427.0,0.973,0.199
Danny Green,LAL,1687.0,0.54,0.73
Paul George,LAC,1419.0,0.115,0.947
Malik Monk,CHA,1136.0,0.522,0.836
Kemba Walker,BOS,1742.0,0.398,0.903
Kawhi Leonard,LAC,1848.0,0.531,0.858
Rodions Kurucs,BKN,684.0,0.956,0.208
Terry Rozier,CHA,2127.0,0.354,0.876
Norman Powell,TOR,1436.0,0.619,0.845
Marco Belinelli,SAS,875.0,0.615,0.814
Torrey Craig,DEN,1072.0,0.965,0.204
George Hill,MIL,1247.0,0.916,0.35
Tyler Johnson,BKN,694.0,0.814,0.527
Lonzo Ball,NOP,1985.0,0.491,0.531
Luke Kennard,DET,888.0,0.664,0.677
Terence Davis,TOR,1203.0,0.712,0.624
DeMar DeRozan,SAS,2282.0,0.677,0.774
Timothe Luwawu-Cabarrot,BKN,853.0,0.628,0.571
Langston Galloway,DET,1682.0,0.004,0.925
Spencer Dinwiddie,BKN,1994.0,0.584,0.757
Jerami Grant,DEN,1892.0,0.951,0.305
Monte Morris,DEN,1637.0,0.863,0.407
Tobias Harris,PHI,2469.0,0.765,0.704
Devonte' Graham,CHA,2179.0,0.35,0.748
Bruce Brown,DET,1612.0,0.912,0.243
Malik Beasley,MIN,1209.0,0.566,0.739
Furkan Korkmaz,PHI,1559.0,0.323,0.792
Markelle Fultz,ORL,1996.0,0.876,0.42
Wesley Matthews,MIL,1617.0,0.504,0.819
Derrick White,SAS,1655.0,0.496,0.487
Rodney McGruder,LAC,871.0,0.907,0.239
Bryn Forbes,SAS,1563.0,0.084,0.854
Aaron Gordon,ORL,2017.0,0.934,0.323
Kenrich Williams,NOP,832.0,0.854,0.049
Keita Bates-Diop,DEN,744.0,0.947,0.217
Troy Brown Jr.,WAS,1782.0,0.872,0.314
Tomas Satoransky,CHI,1878.0,0.708,0.389
Jabari Parker,SAC,918.0,0.942,0.221
Pascal Siakam,TOR,2072.0,0.867,0.363
Ja Morant,MEM,2074.0,0.695,0.558
Kendrick Nunn,MIA,1935.0,0.633,0.779
Reggie Bullock,NYK,684.0,0.699,0.823
Kyrie Irving,BKN,658.0,0.757,0.509
Patty Mills,SAS,1453.0,0.075,0.889
Jrue Holiday,NOP,2080.0,0.681,0.442
Shake Milton,PHI,805.0,0.655,0.522
Goran Dragic,MIA,1632.0,0.704,0.469
James Ennis III,ORL,1266.0,0.938,0.265
Tony Snell,DET,1613.0,0.239,0.863
Collin Sexton,CLE,2143.0,0.721,0.584
Ky Bowman,GSW,1015.0,0.588,0.655
Sekou Doumbouya,DET,754.0,0.92,0.252
Luka Doncic,DAL,1973.0,0.571,0.659
Jordan Clarkson,UTA,1705.0,0.407,0.664
Josh Richardson,PHI,1693.0,0.416,0.783
Robert Covington,HOU,2137.0,0.575,0.58
Donte DiVincenzo,MIL,1495.0,0.827,0.354
Harrison Barnes,SAC,2448.0,0.717,0.398
Jerome Robinson,WAS,979.0,0.177,0.885
Jayson Tatum,BOS,2265.0,0.513,0.765
Eric Bledsoe,MIL,1615.0,0.646,0.513
Kyle Kuzma,LAL,1526.0,0.624,0.496
Patrick Beverley,LAC,1342.0,0.119,0.248
D.J. Augustin,ORL,1420.0,0.438,0.588
Malcolm Brogdon,IND,1666.0,0.673,0.504
Kelly Oubre Jr.,PHX,1893.0,0.81,0.438
Kyle Lowry,TOR,2063.0,0.327,0.832
Grayson Allen,MEM,718.0,0.058,0.743
Josh Hart,NOP,1742.0,0.235,0.553
Ben McLemore,HOU,1619.0,0.274,0.681
Dennis Schroder,OKC,1999.0,0.597,0.566
DeAndre' Bembry,ATL,915.0,0.885,0.088
Tim Hardaway Jr.,DAL,2027.0,0.212,0.801
Alec Burks,PHI,1754.0,0.611,0.69
Mike Conley,UTA,1363.0,0.142,0.695
Jarrett Culver,MIN,1506.0,0.788,0.385
Elfrid Payton,NYK,1246.0,0.845,0.155
LeBron James,LAL,2316.0,0.659,0.637
Semi Ojeleye,BOS,1011.0,0.451,0.137
Garrett Temple,BKN,1730.0,0.23,0.708
Abdel Nader,OKC,867.0,0.27,0.761
OG Anunoby,TOR,2027.0,0.85,0.283
Derrick Rose,DET,1272.0,0.394,0.633
Dorian Finney-Smith,DAL,2079.0,0.792,0.274
Cory Joseph,SAC,1742.0,0.637,0.124
Ricky Rubio,PHX,1979.0,0.381,0.133
Donovan Mitchell,UTA,2364.0,0.469,0.668
Will Barton,DEN,1916.0,0.823,0.27
Russell Westbrook,HOU,2049.0,0.5,0.434
Jonathan Isaac,ORL,980.0,0.743,0.097
Danilo Gallinari,OKC,1834.0,0.403,0.597
Patrick McCaw,TOR,891.0,0.832,0.062
Cody Martin,CHA,903.0,0.77,0.412
Michael Carter-Williams,ORL,833.0,0.739,0.102
Delon Wright,DAL,1545.0,0.69,0.111
Dejounte Murray,SAS,1656.0,0.434,0.053
Trae Young,ATL,2120.0,0.009,0.491
Ryan Arcidiacono,CHI,930.0,0.544,0.128
Caris LeVert,BKN,1330.0,0.735,0.31
Kevin Huerter,ATL,1760.0,0.319,0.615
Luguentz Dort,OKC,820.0,0.881,0.027
Jaylen Brown,BOS,1934.0,0.332,0.642
Alex Caruso,LAL,1175.0,0.779,0.146
Damian Lillard,POR,2436.0,0.301,0.575
Darius Garland,CLE,1824.0,0.283,0.646
Hamidou Diallo,OKC,896.0,0.841,0.058
Treveon Graham,ATL,929.0,0.73,0.106
Isaac Bonga,WAS,1250.0,0.819,0.066
Jae Crowder,MIA,1840.0,0.305,0.699
Joe Ingles,UTA,2137.0,0.137,0.81
Avery Bradley,LAL,1186.0,0.642,0.535
Lou Williams,LAC,1864.0,0.385,0.619
Damyean Dotson,NYK,836.0,0.159,0.867
T.J. McConnell,IND,1326.0,0.752,0.093
Taurean Prince,BKN,1857.0,0.208,0.726
De'Anthony Melton,MEM,1167.0,0.686,0.376
Sterling Brown,MIL,767.0,0.442,0.451
Royce O'Neale,UTA,2049.0,0.336,0.119
Anfernee Simons,POR,1449.0,0.425,0.465
Kentavious Caldwell-Pope,LAL,1762.0,0.46,0.602
Seth Curry,DAL,1505.0,0.186,0.686
Kyle Anderson,MEM,1330.0,0.796,0.04
De'Aaron Fox,SAC,1604.0,0.367,0.341
Marcus Smart,BOS,1919.0,0.447,0.5
Frank Jackson,NOP,776.0,0.257,0.549
Jeff Green,HOU,960.0,0.805,0.071
Josh Okogie,MIN,1547.0,0.783,0.009
De'Andre Hunter,ATL,2018.0,0.296,0.372
Marcus Morris Sr.,LAC,1936.0,0.217,0.735
Jeremy Lamb,IND,1291.0,0.372,0.593
Kent Bazemore,SAC,1661.0,0.473,0.296
Kevin Porter Jr.,CLE,1162.0,0.761,0.022
Kevin Knox II,NYK,1166.0,0.292,0.65
RJ Barrett,NYK,1704.0,0.465,0.425
Dillon Brooks,MEM,2112.0,0.226,0.717
Brad Wanamaker,BOS,1369.0,0.482,0.332
Isaiah Thomas,WAS,925.0,0.168,0.544
Wes Iwundu,ORL,953.0,0.65,0.115
Georges Niang,UTA,923.0,0.133,0.319
Miles Bridges,CHA,1976.0,0.478,0.288
James Harden,HOU,2483.0,0.389,0.367
Solomon Hill,MIA,1088.0,0.363,0.381
Elie Okobo,PHX,703.0,0.066,0.23
Danuel House Jr.,HOU,1913.0,0.509,0.004
Trevor Ariza,POR,1453.0,0.31,0.54
Matisse Thybulle,PHI,1287.0,0.341,0.416
Gary Harris,DEN,1780.0,0.606,0.358
Eric Gordon,HOU,1016.0,0.243,0.673
Ish Smith,WAS,1787.0,0.181,0.075
Jalen Brunson,DAL,1007.0,0.173,0.606
Coby White,CHI,1674.0,0.022,0.482
Wilson Chandler,BKN,734.0,0.044,0.429
Allen Crabbe,MIN,653.0,0.106,0.611
Shai Gilgeous-Alexander,OKC,2428.0,0.376,0.279
Rudy Gay,SAS,1429.0,0.288,0.327
Lonnie Walker IV,SAS,967.0,0.429,0.261
Cam Reddish,ATL,1551.0,0.412,0.013
Markieff Morris,LAL,1171.0,0.593,0.018
Terrance Ferguson,OKC,1257.0,0.314,0.447
Tyus Jones,MEM,1232.0,0.062,0.478
Frank Ntilikina,NYK,1187.0,0.146,0.159
Kris Dunn,CHI,1269.0,0.018,0.173
Rodney Hood,POR,619.0,0.049,0.195
Aaron Holiday,IND,1617.0,0.053,0.345
Mario Hezonja,POR,866.0,0.42,0.142
Jevon Carter,PHX,945.0,0.08,0.212
Emmanuel Mudiay,UTA,850.0,0.124,0.235
Marvin Williams,MIL,1100.0,0.279,0.292
Darius Bazley,OKC,1129.0,0.199,0.044
Shabazz Napier,WAS,1344.0,0.15,0.301
Raul Neto,PHI,668.0,0.155,0.15
Gary Trent Jr.,POR,1299.0,0.031,0.394
Reggie Jackson,LAC,743.0,0.111,0.257
Jordan McRae,DET,785.0,0.071,0.46
Matthew Dellavedova,CLE,821.0,0.013,0.168
Dwayne Bacon,CHA,687.0,0.093,0.456
Vince Carter,ATL,876.0,0.088,0.403
Rajon Rondo,LAL,984.0,0.19,0.031
Austin Rivers,HOU,1594.0,0.027,0.181
Chris Paul,OKC,2208.0,0.035,0.186
Jeff Teague,ATL,1464.0,0.164,0.035
Carmelo Anthony,POR,1869.0,0.195,0.08
Cedi Osman,CLE,1910.0,0.097,0.226
